gorgeous,attractive,1
perfect,ugly,0
ugly,terrible,1
cheap,flimsy,1
comfortable,good,1
comfortable,wonderful,1
comfortable,tight,0
cheap,fancy,0
dress,skirt,1
suit,yellow,0
cheap,polyester,1
orange,swimsuit,0
silky,lovely,1
silky,soft,1
silky,pretty,1
capris,shorts,1
capris,crops,1
tacky,sloppy,1
tacky,avoid,1
shiny,purple,0
tacky,orange,0
pregnant,maternity,1
petite,small,1
petite,large,0
petite,tall,0
coat,trench,1
coat,scarf,1
coat,polyester,0
coat,wool,1
yoga,lounge,1
yoga,sweats,1
yoga,gym,1
waist,yoga,0
hem,yoga,0
lounge,band,0
waist,waistband,1
waist,hip,1
boots,sandals,1
boots,heels,1
lines,tailored,1
lines,defined,1
faded,dull,1
boring,plain,1
boring,cheap,1
necklace,earrings,1
necklace,coat,0
necklace,boots,0
